id,y
50140,146
180477,899
275325,335
218182,1796
346542,1021
95955,849
15579,1037
112126,524
329860,113
24159,454
185088,946
66079,191
180720,759
108453,414
158986,998
323137,606
25539,717
106579,115
116196,373
192415,365
299649,347
289297,1267
106524,269
237058,894
195274,1618
57552,1467
104361,883
37917,533
121818,359
195155,155
82261,682
283374,843
238369,832
53638,746
65514,533
280458,1166
13262,752
232982,898
118356,498
44950,83
68487,87
192021,345
270592,344
96129,1815
143668,186
163423,938
114628,1004
202317,1436
281119,535
72189,1745
274391,309
250354,892
336326,1755
212748,788
262170,275
191073,643
25839,434
213049,576
191131,346
266774,126
95239,1634
256669,175
170340,55
242601,1561
310192,1753
79250,98
267619,288
52157,386
239189,255
321444,435
24953,1582
215374,1491
66154,1363
296595,787
274336,708
262874,4
287776,1745
237715,898
223268,1164
250888,669
82950,188
276479,662
112088,79
109411,649
29510,1689
149147,48
107133,294
12252,994
198664,1763
94270,467
92975,1164
15504,853
96522,1439
246242,204
325618,211
79982,598
66953,306
177012,274
53160,277
124455,786
20614,367
343571,893
166926,519
339682,675
211799,359
214418,1363
135732,606
169502,48
312629,1364
190925,1319
333957,1167
130083,56
345117,977
304131,517
157054,1113
289746,1117
157635,937
339241,2381
23570,429
275851,67
220680,569
22847,1723
234934,492
23214,118
196616,135
122281,15
141593,548
315543,737
335986,934
183853,225
230016,196
18510,536
324984,337
78203,1102
176637,2283
15672,492
313946,974
208095,654
302189,543
174496,385
244631,315
69024,1343
295153,2081
267439,435
98330,161
97387,489
260714,366
145915,541
9926,276
184109,622
226867,337
239390,26
295445,5746
26664,1
146662,444
66338,848
10411,39
146697,155
51214,1594
319472,304
165080,505
299258,581
67138,807
340638,418
234243,349
57945,745
144481,2001
235178,49
121454,327
222752,1869
179796,1294
330921,598
32257,562
21611,499
50408,1745
240381,1502
222294,315
285474,607
131154,484
294152,832
29916,72
149174,612
46948,1125
112449,318
1102,1597
91985,227
117838,1274
151094,2323
165050,227
46138,35
277211,21
67524,1326
90702,1012
85755,461
29881,219
179124,746
326378,445
125232,111
316976,801
220353,176
336598,278
308952,428
317479,499
42940,1291
347155,427
289338,1064
259634,876
292377,686
322020,476
312406,1201
110729,169
238483,196
104352,101
269419,1052
60043,5
298195,839
290676,1515
31672,1138
60268,389
108298,1461
250204,604
272787,796
222223,32
337197,623
92729,765
263394,879
335752,251
91621,562
311856,286
37761,618
73506,848
237906,2016
63069,1485
178182,325
343718,1221
37442,1517
306439,1245
276840,877
118039,125
141852,841
338161,589
105848,458
104104,187
123321,43
116703,1766
66004,3243
95635,2368
199922,785
57473,875
140558,695
129520,1677
86837,558
143473,688
309779,305
324921,1046
50720,768
282092,52
207714,669
101063,185
192159,13
278839,432
290777,869
345955,1302
334852,797
299605,461
207884,137
150383,1173
212342,1716
13150,599
140265,46
79664,221
90288,1022
147935,1005
183877,285
31660,901
107016,949
332539,218
73637,475
21725,508
203312,267
73561,138
140477,84
275110,326
2374,332
112108,183
176258,36
62369,1207
70216,89
152834,247
172373,1511
320767,1208
39594,53
125672,4232
332406,318
34290,2091
191677,743
327006,1533
175868,459
176897,531
183274,1993
195502,526
326472,1194
339779,327
149607,948
101910,383
316818,257
310654,317
116825,8
263693,1326
335945,1103
16168,218
76867,977
63227,1352
59055,778
173494,1879
146352,383
69507,727
278526,966
124290,715
346972,779
307073,701
58698,892
5902,663
323225,978
312613,1574
48327,559
279690,253
15169,986
170109,662
17701,305
348094,1182
63802,415
218919,686
176815,485
97339,287
276673,1333
121094,3534
94511,938
80475,1445
159369,362
2547,1477
164331,502
126294,1072
154523,612
121171,2918
36795,437
51669,1016
79660,754
190707,704
23062,357
40290,863
178013,991
301085,846
345960,253
204497,427
323986,1115
87678,1147
87957,742
34309,189
115393,335
167397,548
124701,351
103944,2083
226072,416
182447,348
89194,583
25198,362
299738,3241
128035,494
317862,626
55726,526
220663,733
66788,803
175663,591
79750,178
171576,348
65431,764
306555,1468
71734,1165
263373,4491
307855,666
216603,105
18583,706
134319,37
246797,429
238490,198
8715,1829
230702,203
319700,1069
135566,592
493,1043
276573,1646
259056,449
188665,1087
110276,1379
60131,1067
178629,905
288991,265
105339,688
182842,1441
212687,507
117306,32
339549,1987
193645,1919
111573,594
116343,226
20541,849
32897,704
96045,458
315149,1323
339163,1656
262060,1024
81445,808
335979,1866
95680,584
84045,1373
28751,247
258877,4967
141120,426
143004,57
230205,541
309807,293
152633,58
303938,954
98017,485
256440,1547
147186,412
190893,1183
21098,87
171736,684
21039,919
212054,1237
277018,1346
189338,1821
305426,84
174707,286
163896,2
143854,281
98956,356
64154,933
255058,879
74710,761
62519,393
171588,62
47017,17
336380,1704
283137,237
269893,652
34106,278
28915,398
235350,717
225970,634
224859,1711
8711,855
161462,568
279255,1131
85446,52
341702,358
286710,1947
160526,758
176767,365
189770,1624
328569,988
345128,2266
161175,764
11069,424
16852,134
2260,796
22146,293
292562,647
156,1561
293635,679
218773,702
146621,397
256472,294
167276,292
45486,496
197896,486
221275,376
288507,1376
269249,1442
159838,373
290673,806
72046,486
109753,4
202494,572
44942,228
63759,302
37384,282
79536,1159
153224,1125
122693,352
152166,242
84316,187
109763,1562
324323,147
278159,958
235389,408
189991,275
163805,1729
288977,3535
200325,322
103655,292
135106,203
70119,389
17786,537
161253,312
122358,507
44798,132
103047,575
159099,691
184087,963
177493,112
104222,54
306465,145
175332,185
289884,947
188263,348
214185,1331
75099,769
192897,111
93371,1028
42156,425
83681,451
234473,516
241342,946
259328,53
191808,79
263758,129
12178,771
83940,574
184949,427
141194,573
114982,86
3407,23
341896,667
98979,1391
45837,35
63191,45
254956,206
134925,1847
217363,894
252510,437
116921,133
343078,649
270902,1429
36252,1005
299297,245
64216,544
208621,869
293471,247
33025,1113
101425,817
11377,645
72553,451
24137,603
44149,417
224713,249
276008,1911
261483,596
48238,673
176249,82
280103,394
263604,174
301810,1224
119578,21
337149,679
180836,457
123211,1043
251452,515
335399,593
186266,1124
335210,2692
241860,572
260296,419
284707,404
222329,899
145533,868
66608,127
337694,662
263555,608
112241,346
283325,658
67247,1594
271920,864
150476,759
58169,496
124932,476
313950,236
255106,436
29247,1013
114950,409
72644,45
213581,295
159070,1292
205352,1055
133045,949
156712,472
343708,549
245392,723
297240,295
129993,1475
157966,604
340046,1512
61150,1092
42778,923
69248,462
25387,418
320592,524
173180,982
338774,72
298763,1244
53684,1674
189076,977
179079,267
174082,1534
174525,516
105417,816
267903,375
310907,1332
138606,323
325308,133
257096,179
280945,231
198264,284
243974,1411
184290,16
205847,32
340915,281
201855,233
18490,908
181642,627
26402,1396
106014,59
46102,1361
32664,1095
37655,546
278423,2941
186181,905
82525,903
279037,395
273346,742
91117,888
161997,1209
71826,196
135209,113
315030,1141
329024,207
179451,2044
52637,749
93377,1642
194931,807
271090,953
18831,2103
266047,1474
117375,877
207862,549
174078,543
34212,507
76844,833
223790,596
182389,15
189266,889
173336,1111
107119,489
314418,785
162020,891
197663,265
310540,94
310062,636
12009,1148
209172,242
323296,1013
229412,1859
299586,757
99431,775
265915,242
243406,2965
157324,924
249981,619
285447,423
186884,217
337655,622
206032,3334
215219,573
227248,1225
108579,428
311312,284
63258,268
228751,1245
229716,723
36090,1685
322180,25
306189,694
323619,312
247170,1001
35139,71
338296,504
187372,732
94028,361
131664,35
227140,6
207526,1803
257483,164
327688,492
96862,558
78185,5
157205,427
80455,1601
49838,22
156339,1106
218902,1692
326611,165
251305,808
232554,2214
242337,1105
166448,293
304480,929
62311,778
224904,1505
209685,1141
264889,661
305928,2999
341333,569
295017,2078
205381,195
230343,483
274117,646
337959,904
52813,1716
161157,936
317201,54
202331,476
176540,184
131342,271
146016,1988
339831,1312
313827,325
205708,361
194694,691
44635,3687
301068,997
110234,61
108797,891
240591,42
319557,262
37753,473
180348,1212
209793,11
201675,608
283221,131
254301,1307
284583,761
277924,278
297840,1532
115993,348
197441,274
250492,393
261985,158
307236,284
254316,2
110014,1888
20351,114
225105,1277
64134,666
140821,3092
75392,984
112131,1387
149384,229
336251,3514
252702,817
209562,659
170329,2334
81096,124
317285,696
321991,952
204253,945
234131,735
341111,419
80676,322
18233,3052
54108,707
199649,2871
262558,526
4135,1322
283395,2005
321600,698
227504,738
322552,5
231229,512
7150,755
194973,883
4416,1837
50303,559
151398,1355
278289,55
191695,782
103773,564
263516,196
89183,3286
349302,185
286456,416
115145,425
30852,488
18903,764
214750,901
242893,1174
216249,939
17012,1138
292625,144
234099,292
55178,631
46164,434
47665,705
158397,673
12416,109
153776,513
39292,1013
290184,21
157015,1996
81550,818
228318,767
347846,738
54380,475
194683,2703
171866,886
60790,1157
320541,512
59079,1043
179929,249
179984,136
203027,1451
206266,675
101301,902
238160,521
310185,1475
309684,314
183028,731
211960,473
11216,1064
270171,459
319332,2314
136041,732
131653,948
244502,836
60149,192
12319,31
156752,996
221811,361
219582,598
169345,713
26344,759
317288,173
180561,713
244252,133
260493,493
306328,847
228108,848
158971,1186
65185,898
88751,843
324708,3623
34308,795
102819,759
189445,19
112198,1344
7926,1607
318138,249
37183,529
268875,202
273652,298
198120,44
43618,578
345029,388
52340,1544
171431,1237
50060,1372
158636,1178
159547,224
201916,667
132565,1233
274784,486
170387,179
92029,1782
36408,541
174325,1065
259913,1134
106930,1655
24301,237
279524,558
68323,595
80662,413
263769,538
342068,721
239076,108
107620,241
322804,1731
87968,448
195524,861
266522,263
285206,351
4984,196
4362,241
258221,612
261044,837
346109,1905
19125,2063
66659,704
128072,416
102590,349
103622,52
119260,392
223063,1899
267612,397
270699,1491
122629,1606
277701,73
179733,773
219663,1142
78929,646
37391,204
306835,1276
172825,744
179158,76
234481,83
